stopword removal,Score_Positif,Score_Negatif,Sentiment,Score
alas murah amerika serikat salah irandulu irak porak porandakan sadam bunuh amerika serikat alasanya samainilah laku negara kristen kafir sesatmenjajah bunuh oramg salah alas masuk akalpadahal fakta amerika serikat nuklircontoh kapal induk amerika serikat pakai tenaga nuklirsungguh biadab,1,-2,Negatif,-1
hai neng,1,-1,Netral,0
amerika serikat israel hancur iran,1,-1,Netral,0
donald gila tentara amerika serikat mati enas timur kasihan keluarga,1,-3,Negatif,-2
janggan takut ancam amerika gomong,1,-3,Negatif,-2
langsung tenggelam kapal amerika serikat basa basi,1,-2,Negatif,-1
tahi kawu gomong,1,-1,Netral,0
semangat iran gaspol cina dukung iran,4,-1,Positif,3
tua waras omonkok cina ancam trump kuat ekonomi militer kuat negeri cina,1,-1,Netral,0
asih tetangga numpang kebun tetangga songong larang kebon,1,-1,Netral,0
wahwah waaaah generasi dajal aksi,1,-1,Netral,0
tegak lurus iran kecoh bangsa zionis sikat punah muka bumi,1,-2,Negatif,-1
love iran,1,-1,Netral,0
kuasa selat hormuz iran langkah amerika serikat mtutup n mkuasainya tpikir amerika serikat mudah mkuasai n mtutupnya nama amerika serikat mtekan n dikte ego global amerika serikat mudah mdikte efektif negara rrc rusia eropa nato dll anggap bersebrangan,1,-1,Netral,0
sejati teroris dunia zionis israelitu musnah,1,-3,Negatif,-2
anehy dunia jahat mnang allah kkuasaan ngkau,1,-3,Negatif,-2
tembak balas tembak kapal perang pulang latih militer india,1,-3,Negatif,-2
suruh israel bom cina trump,1,-2,Negatif,-1
prrsoalan amerika jahat daulat amerika israel waras elit elit ametika israel,1,-3,Negatif,-2
kaum jajah ketemu batu,1,-2,Negatif,-1
dunia nyumpal mulut trummorg sombong,1,-2,Negatif,-1
donald bebek setan trump streees,1,-4,Negatif,-3
mulut donald duck bla bla bla bla dikit dikit ancam coba langsung war berani main sywar,3,-1,Positif,2
donald trump gila,1,-2,Negatif,-1
amirika israel negara iblis,1,-3,Negatif,-2
presiden mimpi gila,1,-3,Negatif,-2
cina ancam bahaaya,1,-1,Netral,0
amerika sekutu hancur negara,1,-1,Netral,0
perang iran keteter ngancam cina donald bebek gila,1,-3,Negatif,-2
kapal perang mamarika ngotot masuk selat hormuz dalih sesuai atur internasional trumppret sattannyahoe tanggal februari ujugujug serang iran aturanhukum internasional kplak,1,-3,Negatif,-2
wilayah iran kapai amerika atur stres otak konslet rampok sda negara kaya negara adidayasuperpower ayo iran lawan jajah,1,-2,Negatif,-1
trump rakyat negara tenang alat kacau dunia,2,-2,Netral,0
oceh mulut trump lihat arti mulut kacau balau,1,-2,Negatif,-1
segitu negara berani israel negara islam,3,-1,Positif,2
bravo iran bravo houty yaman hancur israel tanah bravo iran rakyat indonesia dukung iran,4,-1,Positif,3
donald perang lawan iran keok perang lawan cina dasar bacot,1,-3,Negatif,-2
indonesia diam lihat laku israel palestina,1,-1,Netral,0
bravoiran pakai langsung hajar tenggelam amerika serikat,1,-2,Negatif,-1
perang kulit merah kulit putih,1,-3,Negatif,-2
china rudal balistik amerika paham,1,-1,Netral,0
gila harap runding goblok diharafkan perang langsung senjata nuklir kerah,1,-3,Negatif,-2
trump bajing otak kriminal preman dunia kutuk,1,-1,Netral,0
kamar mandi tumbang trump,1,-1,Netral,0
milik senjata nuklir iran serang amerika israel senjata lebanon lucutk mudah israel serang bunuh lebanonn iran lebanon bantu perang,1,-3,Negatif,-2
babi amerika blokade kapal langka minyak,1,-1,Netral,0
sungguh sulit nya kah kalah israelllll allah biadab,1,-1,Netral,0
iran sop warning tindak,1,-1,Netral,0
rakyat amerika tuju perang ulah pimpin,1,-3,Negatif,-2
donald duck ngancem pandaemangnya berani tindak,3,-1,Positif,2
amerika serikat trump koar negara adidaya lawan iran keok,1,-3,Negatif,-2
china ancam amerika serikat lawan iran ayo china pasok rudal keiran biar hancur amerika serikat zionis,1,-2,Negatif,-1
trump netanyaho terorrist dunua,1,-1,Netral,0
negara campur cina masuk senjata iran,1,-2,Negatif,-1
israel terorrist,1,-1,Netral,0
iran kalah musuh hancur,1,-3,Negatif,-2
iran lawan blokadekabel optik dasar selat hormuz putus iran dunia lumpuh,1,-3,Negatif,-2
ganjar amin si anjing netanyhu,1,-1,Netral,0
damai syarat,1,-1,Netral,0
rusia chine jatuh video tab gambar tarik amerika serikat pietnam,1,-1,Netral,0
kirim rudal amerika,1,-1,Netral,0
amereka hancur,1,-1,Netral,0
dunia kecam tutup celah amerika israel omon omon biar anak buah buka wilayah udara indonesia untu pesawat perang amerika rakyat rapat baris no king,1,-3,Negatif,-2
kinzir trump nienyusahkan duniaknapelah mampos lagibagus tangkap ikat rudal tembak langit kecai udarasekali netanyahu malaysia kirim anuar ibrahim bawa biawak hidup semak je kat malaysia nyusahkan rakyat manusia acah bagus bangsat nyusahkan rakyatjadi pm kayujadi pmbt,3,-1,Positif,2
iran lawan,1,-2,Negatif,-1
dukun indonesia kompak sntt nyetanyahu biar cepat kelar konplik,1,-1,Netral,0
iran anjing kirsten agama,1,-1,Netral,0
amerika kasih celah kapal masuk selat hormuz rudal biar kapok,1,-1,Netral,0
topi donald trompet tulis usaasu,1,-1,Netral,0
terrorist israel amerika degil bedil kapal dagang amerika serikat,1,-1,Netral,0
ceasefire terrorist israel amerika liar,1,-2,Negatif,-1
terrorist israel amerika get ouyt fromplastina lands,1,-1,Netral,0
block semuga kapal pro israel israel,1,-1,Netral,0
bravo iran hancur donald sombong acau damai dunia bumi hangus musuh,1,-3,Negatif,-2
iran tahundi blokade tenang sjslot hormuz iran blokade dunia panikhebat iran no kuat dunia nyata,2,-1,Positif,1
israel amerika biadab bunuh rakyat sipil biar pbb tega hak asasi manusia pbb bubar tameng negara zionis,2,-1,Positif,1
negara berani lawan amerika israel,3,-2,Positif,1
bacot donald bebek amerika serikat mnang perang,1,-3,Negatif,-2
israel berani bela palestina,3,-1,Positif,2
syarat amerika ign menang bagus tolak layak,3,-1,Positif,2
hancur kapalkapal sekutu amerika,1,-1,Netral,0
trump panik,1,-2,Negatif,-1
negara merdeka jajah contoh indonesia juang merdeka alat perang bambu runcing indonesia benci jajah,1,-4,Negatif,-3
syarat amerika ign menang bagus tolak layak alquran ulang kali nyata fitnah janji,3,-3,Netral,0
tunduk negara masuk meberintian kaya uranium negara nuklir makan empuk negara raka,1,-2,Negatif,-1
iran tutup selat hormoz cina tutup ruang udara indonesia tutup jahat koruptor ijazah palsu,1,-3,Negatif,-2
iran gempur kapal amerika serikat,1,-1,Netral,0
yahudi zionis usak dunia,1,-1,Netral,0
odgj presiden omong donald trumpet bebek bohong diberitakanbravo iran free palestin,1,-1,Netral,0
biadabzionis zahanam,1,-1,Netral,0
hhahaa trump sejarah china adab negara amerika peta dunia china rakyat berani ngancam dasar bodo,3,-1,Positif,2
kaum iran berani habis kaum israel amerika serikat,3,-1,Positif,2
hhahaaaa trump malu dasar rampok wilayah,1,-3,Negatif,-2
su udonnn donald china,1,-1,Netral,0
amerika nato kirim alat perang ukraina china larang kirim sekutu negara enak,2,-3,Negatif,-1
negara enak amerika,2,-1,Positif,1
negara kembang tenags nuklir amerika serikat bom nuklis enak curang ente guy,2,-3,Negatif,-1
kembang senjata nuklir,1,-2,Negatif,-1
pasok takut china negara takut ancam bayak gudang senjata bantu iran keroyok rusia amerika serikat keroyok goyah aplgi cina masuk iran mampus amerika serikat,1,-3,Negatif,-2
dunia lawan amerika serikat israelkalau dunia diam jajah kepala,1,-2,Negatif,-1
donald bebek keras nyata kertasbotgoo irankasih paham amerika serikat,1,-3,Negatif,-2
media frustasi sebar berita hoax,1,-1,Netral,0
harga bensin iran rp perak indonesia mahal oh ongkir kali mahal,1,-2,Negatif,-1
comment tri isi kosong doang,1,-1,Netral,0
nuklir nuklir kambing hitam sumur minyak,1,-1,Netral,0
iran negara sono ternak amerika serikat,1,-1,Netral,0
angkat laut punah tenggelam iran tutup selat pakai congor,1,-2,Negatif,-1
hak amerika blokade selat hormuz wilayanya blokade israel bantu amerika sendirienak hak negara ambil dasar iblis teroris duniaseharusnya dunia gempur teroris amrrika teroris israelyg selslu bikin kacao dunia,2,-3,Negatif,-1
tutup total hormuz bungkam mulut trump habis negara sombong dukung iran,4,-2,Positif,2
chanel hoax berita palsu edit amerika serikat blokade selat hormuz berani tembak bom habis teroris iran,3,-3,Netral,0
bravo iran best,1,-1,Netral,0
gempur habis kapal amerika serikat usaha masuk selat hormuz,1,-1,Netral,0
mangx nenggelamkn kapal al amerika serikat swaktu kapal al iran rudal mpe tenggelam diam plonga plongo,1,-2,Negatif,-1
trumpet halu sok an,1,-2,Negatif,-1
amerika serikat blokade selat hormous negara dunia kirim kapal kapal perang tembak kapal kapal amerika serikat,1,-3,Negatif,-2
bangga bela salah dampak dbyk negara krisis teluk masuk indonesia cuman bbm harga potensi semuakrisis global usaha tenaga kerja phk mari doa belah damai dampak keri,2,-3,Negatif,-1
china tutup udara parno amerika licik main comot kepala negara manfaat situasi mata tuju perang iran sikat pimpin china,2,-3,Negatif,-1
tentara amerika jahat garagara presiden tentara kudeta presidenya,1,-3,Negatif,-2
cina sadar negara agen mosad israel,1,-1,Netral,0
cina berani hajar amerikairan berani cina beranihajar amerika,3,-1,Positif,2
sipantat ayam trumpet koar,1,-3,Negatif,-2
dikte astuduhan nuklir siasat amerika serikat kuasa timur,1,-1,Netral,0
trump blockade iran takut gila amerika serikat puruk ekonomi kocak,1,-3,Negatif,-2
iran kapal musuh ummat manusia taktik zalim kejam bawa dampak bencana ancam stuktur hidup bena alam manusia manusia rana pelangaran ceroboh laku arah trump ancam tuju genjatan senjata damai belah amerika serikat israel iran beerti pencerobahan salah arah strategy sekala perang amerika serikat amerikake irantidak salah iranbertindak rayu sekira musuh amerikaserangtakbirhanya esaallahu akbar allah lailahaillallah allahu allahal fatihahamiin,1,-4,Negatif,-3
wkwkwk pikir donald trump iran takut amerika serikat bawa kapal perang selat hormuz pikir iran venezuela,1,-3,Negatif,-2
pbb suwe koyo indonesia,1,-1,Netral,0
iran tida buka selat hormuz tutup biar ter daulat negara iran jls,1,-1,Netral,0
odgj trump seret dunia perang dunia,1,-3,Negatif,-2
dog trump is big sattan devil from amerika,1,-1,Netral,0
osrael target rumah warga nahhhsaat netanyahu introgasi rumah markas hizbullah aneh alas tengok gaza rumah sakitmasjidgreja bom zionis alas,1,-2,Negatif,-1
langsung rudalllbiar donald streess,1,-1,Netral,0
aco presiden trump,1,-1,Netral,0
gedabros yi ngadepi iran cus,1,-1,Netral,0
donald bebek cari perkara,1,-2,Negatif,-1
bagus iran kipas kapal amerika serikat kapal negara arab,3,-1,Positif,2
rakyat dunia dukung korea utara uji cuba senjata benua israel,4,-2,Positif,2
donald bunuh pasu kasihan pasu blokade menit hancur iran ranjau rudal drone aduh kasihan pasu amerika serikat korban,1,-3,Negatif,-2
zionis israel biadab bangsad,1,-1,Netral,0
mesti amerika serikat israel negra jahat keroyok lenyap muka,1,-3,Negatif,-2
donald bebek presiden odgj dunia otak dubur,1,-1,Netral,0
presiden amerika pikun,1,-2,Negatif,-1
lawan iran kalah lawan china,1,-2,Negatif,-1
situasi perang iran langsung tembak musuh alas bahaya negranyatp iran suruh putar,1,-3,Negatif,-2
setan israel,1,-4,Negatif,-3
iran mantap,1,-1,Netral,0
kocak kocak nuklir iran larang nuklir amerika tingkat kualitas,1,-1,Netral,0
prajurit tni,1,-1,Netral,0
sok kuasa trump,1,-2,Negatif,-1
tenggelam kapal amerika sekutu kasih biar mampus,1,-2,Negatif,-1
ashadu alla illaa haillallah wa ashadu anna muhammadur rosulullah kobar semangat muslimin wal muslimat muminin wal muminat hasbunallah wal nimal wakil nikmal maula wal nikman nasir musnah zionis israel zionis amerika serikat juang suci umat islam dunia vs iblis dajjal surga mawa tuju umat islam dunia mati syahid jalan pilih tuju surga mawa umat islam dunia,4,-3,Positif,1
perang luas hancur dajjal amerika serikat israel,1,-3,Negatif,-2
hamaz syiaah mengunakan remaja pemuda tameng,1,-1,Netral,0
trump cundang iran cina rusia korut hancur amerika serikat israel,1,-1,Netral,0
us gila enak nutup selat rupa wilayah iran jajah hancur kapal rudal habis pasu darar udara laut go iran andai us laku rupa indonesia nyakin perintah takut babu nyerahin negara amerika,2,-3,Negatif,-1
acam melulu bembaknya,1,-1,Netral,0
cina devisa dll ladang korupsi wkwkw,1,-3,Negatif,-2
alah indonesia,1,-1,Netral,0
kelas cina ancam,1,-1,Netral,0
bravo iran allah hu akbar,1,-1,Netral,0
warga palestina keroyok tentara israel serang ambil senjata,1,-2,Negatif,-1
iran babak bur akibat serang amerika serikat israil,1,-1,Netral,0
negara wajib serang hancur amerika serikat israel negara acau dunia,1,-1,Netral,0
iran waspada amerika sengaja pancing iran selat hormuz kapal perang amerika rudal iran sin amerika alas amerika serang iran kompromi,1,-3,Negatif,-2
ayo iran balas saudara palestina lebanon,1,-1,Netral,0
hancur teroris zionis amerika,1,-3,Negatif,-2
amerika serikat malumlrng iran nuklir sdngkn amerika serikat nuklir,1,-1,Netral,0
trump cepat modar biar dunia kacau,1,-2,Negatif,-1
moga iran menang,2,-1,Positif,1
halu perintah indonesia menhub kuat wisatawan domestik ekonomi sulit morat marit wisata,1,-2,Negatif,-1
amerika negara licik hangus muka bumi,1,-3,Negatif,-2
bravo iran,1,-1,Netral,0
barusan kapal perang amerika serikat masuk selat hormuz lancar kapal iran berani tembak jaga doang iran takut langgar gencat senjata,3,-3,Netral,0
media abal abal sipembuat hoax propaganda,1,-2,Negatif,-1
iran ingkar janji nyata,1,-1,Netral,0
presiden syaraf omong jidat korban tentara amerika trump enak makan istana,2,-3,Negatif,-1
bangkrut amerika serikat donald serakah zionis israel,1,-3,Negatif,-2
lawan amerika serikat takut blokadetembak kapal asiran menangcjina kawan mundurbiang kerok amerika serikat hancur,1,-3,Negatif,-2
rebut dunia lanjutken,1,-1,Netral,0
trump pindah serang cina presiden peran,1,-1,Netral,0
iran tunduk ancam negara china,1,-2,Negatif,-1
israel babi buta serang lebanon palestina iran wajib serang israel abai pbb,1,-2,Negatif,-1
rakyat demo pemerintahanannya donald ajak perang,1,-3,Negatif,-2
insya allah tramdan pasu amerika serikat,1,-1,Netral,0
