stopword removal,Score,Sentiment
trump bilang perang menang lawan iran trump waras trump memasuki rumah sakit jiwa trump,-1,Negatif
donaltrump sok kuasa sokan mengatur negara aturan donaltrump terancam makzulkantpi sombong meninggi cocok banget trump penjara,-1,Negatif
bravo iran,0,Netral
goblog israel penjaja insyaallah hancur,1,Positif
donald bebek serakah,0,Netral
ayolah iran tolonglah sipil palestina ditembaki zionis israel semoga rudalmu menyelesaikan persoalanpersoalan,0,Netral
pbb tiada gunanyapbb negaratapi israel seja americabagus paya namanya pbb bikin kotor seja negara,0,Netral
mantap iran menyabotase ekonomi amerika serikat bangkrut tinggal menutup selat hormuz beres khusus pendukung amerika serikat israel ditenggelamkan bravo iran china,0,Netral
tutup israel,-1,Negatif
gila menang,0,Netral
iran teruslah percepat senjata nuklir jihad,1,Positif
amerika memasokan sejata ukraina perang rusia,-1,Negatif
berjuang iran,0,Netral
dimana dunia mengecam tindakan memerika dangan rewel indonesia melanjutkan kerjasama latihan garuda shield potensi ruang udara indonesia hebat hebat malu,-1,Negatif
salut iran biarkan amerika berbuat timur,0,Netral
amerika serikat wibawa kekuatan militer pangkalan militer alut sista pers hancur lebur rudal iran amerika serikat amerika serikat hancur lebur israel,-1,Negatif
asengsmbil emas papua naikan tarif pajak ri setuju menteri pejabat setuju,-2,Negatif
amerika serikat menaikan tarif dunia perang iran dunia global diam membayar mahal giliran iran menerapkan hormuze membayar amerika serikat terima dunia berteriak coba hormuze israel amerika serikat suruh bayar,-1,Negatif
amerika serikat lenyapkan iran selat hormuz hususnya timur iran mendanai teroris timur,0,Netral
ayo china hancurkan amerika pemeras minyak timur,1,Positif
allohuakbar kali hasbunallohu wani maal wakkil shalalloh alla muhammad shalalloh allaihiwassallam alfatihah kali insyaa allah kemenangan keunggulan strong pasukan republik islam iran group tumpas hanguskan teroris yahudi nasrani israel amerika group pasukan cecurut tikus gosong remuk nyungsep alhamdulillah amin rabbal allamiin,-1,Negatif
hati hati iran amerika serikat hubungi rambo,0,Netral
kasihan libanon rudal pertahanan udara,-1,Negatif
kerakusan bangsa amerika usir penjajah timur setan nyahu usir,-3,Negatif
israel laknatullah jahanam,-1,Negatif
diplomasi amerika menghianati kesepakatan iran menlucuti pembuatan nuklir amerika menyerang habis habisan contoh negara irak dipimpin sadam hoseinsetelah dilucuti persenjataannya dibumi hanguskan negara yahudi amerika israel haya tunduk elit global dipimpin dazal hidup president amerika tunduk perintah elit global dihabisi amerika bersikeras utuk diplomasi strategi tipu daya,-3,Negatif
us seribu pulang tinggal semoga terbukti allahu akbar allahu akbar allahu akbar allhamdulillah,1,Positif
support iran,1,Positif
takut tembak kapal zionis dasar tentara bodoh ditipu donald bebek iblis bodoh kau tentara amrikmati sia kau iran,-4,Negatif
kemana penjaga perdamaian tni,0,Netral
iran menang babak belursok sok mengancam berdaya ditutupi kebohongan,0,Netral
sifat ketidak profosionalnya tentara iblis beraninya melawan warga senjata coba melawan bersenjata mampuslah iblis,-2,Negatif
rakyat amerika tunggu hancurkn,0,Netral
rakyat amerika maju melantik president lemah,1,Positif
cina beda cina cina alat tempurnya cangih amerika mengacam cina mengharapakan hancur,-1,Negatif
welcome perang dunia,0,Netral
persiden tolol dunia bebek,-1,Negatif
masik lumayan dikasih,1,Positif
resiko memilih pemimpin pikun,-1,Negatif
keadilan buktinya mantap,1,Positif
hey iransegera bangunkan senjata nuklir terlambatajar us israel,0,Netral
hry warga nablosdi abbas barua us hammas ganggu israel zionis,-2,Negatif
trump menganggap fir aunatau fir aun,1,Positif
memange wilayah amerika serikat,0,Netral
trumps anak haram omongannya berserakan,-2,Negatif
pbb israel nyata menyerang rakyat sipil melindungi israel berani bertindak,-2,Negatif
iran ragu takut ancaman amerika serikat mnciptakn nuklir klopn iran dlarang mnciptakn nuklir ut amerika serikat larangan ut mmbuat nuklir amerika serikat mlakukan pembuatan nuklir dbilng adil,-2,Negatif
amerika serikat percaya ancaman kchina skuku matipn china takkan ragu takut ancaman amerika serikat rakyat indonesia dukungan super china ut ancaman china,-2,Negatif
seru ayo perang nukrir biar seru biar perang dunia kaya sugesti doang,-1,Negatif
donald dobol dajjal trump dilibas warga rakyat muak ulah zholim sepak terjang soksokan donald looser trump menimbulkan krisis ekonomi,-5,Negatif
donald setres menang apanya amerika serikat menangis,-2,Negatif
bravo iraaaaaaaan allah subhana wataallaa negara iraaaaaan allah subhana wataallaa kasih keazaiban negara iraaaan kekuatan negara iraaaan kekuatan penuh negara iraaaan aammiin allahumma amin bravo iraaaaan,4,Positif
tangkap trump netanyahu perusak kedamaian dunia ayo pbb keluarkan dekrit pbb amerika hancur israel,-1,Negatif
congor trump busukhadapi iran terkencing lawan cina,-1,Negatif
trump odgj,0,Netral
allah lindungi iran tentaranya,1,Positif
semoga rudal iran nyasar tarim biar imigran mengaku cucu nabi indonesia,0,Netral
bravoiran lanjutkan tentara zionis israel usir plastina and gaza rakyat plastina and gaza bersatu kompak dgan hamas lawan tentara kependudukan israel babi inyah plastina and gaza amin,-2,Negatif
donald cumak nakut nakuti,0,Netral
allahu akbar maju pantang mundur islam abad hancurkan negara yahudi akarnya pantang negosiasi,0,Netral
iran berambisi nuklir tekan dilecehkan ancam wajar iran nuklir,-1,Negatif
iran hujani penjajah babi trump amerika penjajah zionis iblis israel setan yahok laknatullah rudal drone mendarat tanah iran penjajah babi trump umpan hiu,-5,Negatif
aneh negara muslim diam membantu negara arabsetanyahu donald bebek penjahat perangko mendukung indonesia bangga negara cina rusiajg korutwalaupun mayoritas muslim mendukung perjuangan iran negara iran membantu perjuangan rakyat palestina bravo iran,3,Positif
mantap iran lawan donald bebek hadapi gigih bersatu sekutumu,0,Netral
amerika serikat blokir hormuz bertindak penjajah begal laut serakah takut iri iran jual minyak dunia coba hentikan pakai kekerasan murni terorisme perampokan jalanan,-5,Negatif
speedboat iran menenggelamkan mengusir armada kapal induk mutakhir ashaluuu banget beritanyahanya bodoh percaya,0,Netral
donalt trump waras,0,Netral
tolol mengapai ngurusi rumah tangga orrang,0,Netral
mangnya laut punyanya amerika serikat,0,Netral
dunia ameka israel pembohong iran negara menjajah negara senjata iran membela menentang pejajahan,-2,Negatif
amerika sewenangnya perdamaian nouklir contoh irak sadam husen diserang senjata nouklir sekang amerika pembohong,-2,Negatif
hamas diam,0,Netral
hajar ayo iranas mnusia pengecutlewat hncurkn,0,Netral
iran penakut langsung tembak,0,Netral
yahudi dasar picik,0,Netral
indonesia brla iran matimatian kapal pertamina lepas dasar mabuk dah agama,-4,Negatif
china rusia membantu iran menghancurkan menenggelamkan kapalkapal perang amerika serikat selat hormuz,-2,Negatif
pikiran donald bebek dunia miliknya pribadi,0,Netral
panikresah bisanya hyy mengancam,0,Netral
suhu bebek ntt ntt sajabiar dunia tentramjika tiada dunia tentram damai,0,Netral
selat hormz masuk wilayah persia donald bebek sekutunya asli sakit jiwa menantang china mencegat kapal hrmz,-4,Negatif
trump manusia malu,1,Positif
merakaa rsk dunia basmi dnl bek sinyahu,-1,Negatif
a si israel jaman canggih bisanya menjajah negara perbuatan jahat melecehkan kedaulatan negara dilawan dibumi hanguskan peta bumi meresahkan memangnya negara jajah butuh merdeka mensejahterakan rakyatnya gempur mampus rakyat internasional tuhan melindungi iran rakyatnya amin kalao pengin dunia damai amerika serikat israel berhenti menjajah contohnya palistina menderita kekejamanya israel a si israel penjahat dibumi hanguskan halal amin,-8,Negatif
takut mulut trumpcina lanjutkan takut,0,Netral
presiden ogdj pilih seprti,0,Netral
alasan murahan amerika serikat menyalahkan irandulu irak porak porandakan sadam bunuh amerika serikat alasanya samainilah kelakuan negara kristen kafir sesatmenjajah membunuh oramg bersalah alasan masuk akalpadahal faktanya amerika serikat nuklircontoh kapal induk amerika serikat memakai tenaga nuklirsungguh biadab,-4,Negatif
hai neng,1,Positif
amerika serikat israel dihancurkan iran,0,Netral
donald gila tentara amerika serikat mati mengenaskan timur kasihan keluarganya,0,Netral
janggan takut ancaman amerika gomong,-1,Negatif
langsung tenggelamkan kapal amerika serikat basa basi,-1,Negatif
tahi kawu gomong,-1,Negatif
semangat iran gaspol cina dukung iran,1,Positif
tua waras omonkok cina diancam trump kekuatan ekonomi militer terkuat negeri cina,0,Netral
mengasih tetangga numpang kebun tetangga songong larang kebon,-2,Negatif
wahwah waaaah generasi pengikut dajal beraksi,-2,Negatif
tegak lurus iran terkecoh bangsa zionis sikat punah muka bumi,0,Netral
love iran,0,Netral
penguasaan selat hormuz iran langkah amerika serikat mtutup n mkuasainya tpikir amerika serikat mudah mkuasai n mtutupnya nama amerika serikat mtekan n dikte kemauan egonya kepentingan global amerika serikat mudah mdikte efektif negara rrc rusia eropa nato dll dianggap bersebrangan,5,Positif
sejatinya teroris dunia zionis israelitu musnahkan,0,Netral
anehy dunia jahat mnang allah tunjukkan kkuasaan ngkau,0,Netral
tembak balasan penembakan kapal perang pulang latihan militer india,-3,Negatif
suruh israel bom cina trump,-1,Negatif
prrsoalan amerika kejahatan kedaulatan amerika israel waras elit elit ametika israel,0,Netral
kaum penjajah ketemu batunya,1,Positif
dunia nyumpal mulut trummorg sombong,-2,Negatif
donald bebek setan trump streees,-1,Negatif
mulut donald duck bla bla bla bla dikit dikit ancam coba langsung war berani main sywar,-3,Negatif
donald trump gila,0,Netral
amirika israel negara iblis,-1,Negatif
presiden pemimpi gila,1,Positif
cina diancam bahaaya,0,Netral
amerika sekutu hancurkan negara,-1,Negatif
perang iran keteteran ngancam cina donald bebek gila,-1,Negatif
kapal perang mamarika ngotot masuk selat hormuz dalih sesuai aturan internasional trumppret sattannyahoe tanggal februari ujugujug menyerang iran mengikuti aturanhukum internasional kplak,-5,Negatif
wilayah iran mengapai amerika mengatur stres otak konslet merampok sda negara kaya negara adidayasuperpower ayo iran lawan penjajah,-1,Negatif
trump rakyat negara tenang alat kekacauan dunia,-1,Negatif
ocehan mulut trump mulut kacau balau,-3,Negatif
segitu negara berani israel negara islam,0,Netral
bravo iran bravo houty yaman segerakan hancurkan israel ratakan tanah bravo iran rakyat indonesia bersatu dukung iran,0,Netral
donald perang lawan iran keok perang lawan cina dasar bacot,-3,Negatif
indonesia diam kelakuan israel palestina,0,Netral
bravoiran pakai peringatan langsung hajar tenggelamkan amerika serikat,0,Netral
perang kulit merah kulit putih,-2,Negatif
china rudal balistik amerika paham,0,Netral
gila diharapkan perundingan goblok diharafkan perang senjata nuklir dikerahkan,-2,Negatif
trump bajingan otak kriminal premanisme dunia mengutuknya,0,Netral
kamar mandi menumbangkan trump,0,Netral
memiliki senjata nuklir iran serang amerika israel senjata lebanon lucutk mudah israel menyerang membunuh lebanonn iran lebanon bantu perang,-3,Negatif
babi amerika blokade kapal menambah langka minyak,-2,Negatif
sungguh sulit nya kah mengalahkan israelllll allah biadab,0,Netral
iran sop warning bertindak,-1,Negatif
rakyat amerika setuju perang ulah pemimpinnya,-2,Negatif
donald duck ngancem pandaemangnya berani bertindak,-2,Negatif
amerika serikat trump koar negara adidaya lawan iran keok,-1,Negatif
china diancam amerika serikat lawan iran ayo china pasok rudal keiran biar hancur amerika serikat zionis,1,Positif
trump netanyaho terorrist dunua,0,Netral
negara campur cina masukan senjata iran,1,Positif
israel terorrist,0,Netral
iran kalah musuh hancur,-2,Negatif
iran dilawan blokadekabel optik dasar selat hormuz putus iran dunia lumpuh,0,Netral
ganjaran aminkan si anjing netanyhu,-1,Negatif
damai syarat,0,Netral
dapatkan rusia chine jatuh video tab gambar tarik amerika serikat pietnam,2,Positif
kirim rudal amerika,1,Positif
amereka hancurkan,0,Netral
dunia mengecam menutup celah amerika israel omon omon membiarkan anak buahnya membuka wilayah udara indonesia untu pesawat perang amerika rakyat rapatkan barisan no king,-7,Negatif
kinzir trump nienyusahkan duniaknapelah mampos lagibagus tangkap ikat rudal tembak lelangit berkecai udarasekali netanyahu malaysia kirim anuar ibrahim bawa biawak hidup semak je kat malaysia nyusahkan rakyat manusia acah bagus bangsat nyusahkan rakyatjadi pm kayujadi pmbt,-2,Negatif
iran lawan,0,Netral
dukun indonesia kompak sntt nyetanyahu biar cepat kelar konplik,0,Netral
ratakan iran anjing kirsten agama,-2,Negatif
amerika sedikitpun kasih celah kapalnya masuk selat hormuz rudal biar kapok,-3,Negatif
topi donald trompet bertuliskan usaasu,0,Netral
terrorist israel amerika degil bedil kapal dagang amerika serikat,-2,Negatif
ceasefire terrorist israel amerika liar,0,Netral
terrorist israel amerika get ouyt fromplastina lands,0,Netral
block semuga kapal pro israel israel,-2,Negatif
bravo iran hancurkan donald kesombongan mengacau perdamaian dunia bumi hanguskan musuh,-1,Negatif
iran tahundi blokade tenang sjslot hormuz iran blokade dunia panikhebat iran no terkuat dunia,0,Netral
israel amerika biadab membunuh rakyat sipil dibiarkan keberadaan pbb penegakan hak asasi manusia pbb bubarkan tameng negara zionis,1,Positif
negara berani melawan amerika israel,0,Netral
bacot donald bebek amerika serikat mnang perang,-1,Negatif
israel berani bela palestina,0,Netral
syarat amerika ign menang bagus ditolak layak diikuti,-1,Negatif
hancurlah kapalkapal bersekutu amerika,-1,Negatif
trump panik,-1,Negatif
negara pendirian merdeka jajahan contohnya indonesia berjuang merdeka peralatan perang seadanya bambu runcing indonesia benci penjajah,-3,Negatif
syarat amerika ign menang bagus ditolak layak diikuti alquran berulang kali fitnah menepati janji,-2,Negatif
tunduk negara meberintian pengayaan uranium negara nuklir makanan empuk negara seraka,1,Positif
iran menutup selat hormoz cina menutup ruang udara indonesia menutupi kejahatan koruptor ijazah palsu,-4,Negatif
iran gempur kapal amerika serikat,-2,Negatif
yahudi zionis perusak dunia,0,Netral
odgj presiden omongan donald trumpet bebek terbalik bohongnya diberitakanbravo iran free palestin,1,Positif
biadabzionis zahanam,0,Netral
hhahaa trump sejarah china peradaban negara amerika peta dunia china rakyat berani ngancam dasar bodo,-1,Negatif
kaum iran pemberani habislah kaum israel amerika serikat,0,Netral
hhahaaaa trump malu dasar perampok wilayah,0,Netral
su udonnn donald china,0,Netral
amerika nato kirim alat perang ukraina china larang kirim sekutu negara seenak,-2,Negatif
negara seenak amerika,-1,Negatif
negara mengembangkan tenags nuklir amerika serikat bom nuklis curang ente guy,-1,Negatif
kembangkan senjata nuklir,0,Netral
pasok takut china negara takut ancaman bayak segudang senjata bantulah iran keroyok rusia amerika serikat keroyok goyah aplgi cina masuk iran mampus amerika serikat,-4,Negatif
dunia bersatu lawan amerika serikat israelkalau dunia diam penjajah kepala,-1,Negatif
donald bebekku keras kertasbotgoo irankasih paham amerika serikat,0,Netral
media frustasi penyebar berita hoax,-3,Negatif
harga bensin iran rp perak indonesia mahal oh ongkir kali mahal,3,Positif
comment mentri isi kosong doang,-1,Negatif
nuklir nuklir kambing hitam dibalik sumur minyak,-3,Negatif
iran negara sono ternak amerika serikat,0,Netral
angkatan laut punah tenggelam iran tutup selat pakai congor,-4,Negatif
haknya amerika blokade selat hormuz wilayanya blokade israel bantuan amerika sendirienak hak negara diambil dasar iblis teroris duniaseharusnya dunia gempur teroris amrrika teroris israelyg selslu bikin kacao dunia,-2,Negatif
tutup total hormuz bungkam mulut trump habisi negara sombong dukung iran,-2,Negatif
chanel hoax berita palsu editan amerika serikat blokade selat hormuz berani tembak bom habis teroris iran,-3,Negatif
bravo iran best,0,Netral
gempur habis kapal amerika serikat berusaha masuk selat hormuz,-3,Negatif
mangx nenggelamkn kapal al amerika serikat swaktu kapal al iran rudal mpe tenggelam kemana diam plonga plongo,-2,Negatif
trumpet halu sok an,0,Netral
amerika serikat memblokade selat hormous negara dunia bersatu mengirim kapal kapal perangnya menembak kapal kapal amerika serikat,-5,Negatif
bangga membela salah satunya dampaknya rasakan dbyk negara krisis teluk berkelanjutan indonesia cuman bbm harga berpotensi semuakrisis global perusahaan mengurangi tenaga kerja phk mari berdoa belah berdamai dampaknya mengerikan,2,Positif
china tutup udara parno amerika licik main comot kepala negara memanfaatkan situasi mata perang iran sikat pemimpin china,-5,Negatif
tentara amerika penjahat garagara presidennya tentaranya kudeta presidenya,0,Netral
cina sadar negara agen mosad israel,-1,Negatif
cina berani hajar amerikairan berani cina beranihajar amerika,-1,Negatif
sipantat ayam trumpet koar,0,Netral
didikte astuduhan nuklir siasat amerika serikat menguasai timur,0,Netral
trump blockade iran takut gila amerika serikat terpuruk ekonomi kocak,-2,Negatif
iran peringatan kapal musuh ummat manusia taktik kezaliman kekejaman bawa dampak bencana ancaman stuktur kehidupan benaan alam kemanusiaan manusia kerana pelangaran penceroboh lakukan arahan trump mengancam persetujuan genjatan senjata perdamaian belah amerika serikat israel iran beerti pencerobahan salah arahan strategy sekala perang amerika serikat amerikake irantidak salah iranbertindak peringatan merayu musuh amerikaserangtakbirhanya esaallahu akbar allah lailahaillallah allahu allahal fatihahamiin,-9,Negatif
wkwkwk pikir donald trump iran takut amerika serikat membawa kapal perang selat hormuz pikir iran venezuela,-1,Negatif
pbb suwe koyo indonesia,0,Netral
iran tida buka selat hormuz tutup biar termu kedaulatan negara iran jls,-1,Negatif
odgj trump menyeret dunia perang dunia,-1,Negatif
dog trump is big sattan devil from amerika,0,Netral
osrael targetkan rumah warga nahhhsaat netanyahu introgasi rumah jadikan markas hizbullah aneh alasan tengok gaza rumah sakitmasjidgreja bom zionis alasan,3,Positif
langsung rudalllbiar donald streess,1,Positif
mengaco presiden trump,1,Positif
gedabros yi ngadepi iran pecus,0,Netral
donald bebek cari perkara,-2,Negatif
bagus iran kipas kapal amerika serikat kapal negara arab,-2,Negatif
rakyat dunia mendukung korea utara uji cuba senjata benua israel,1,Positif
donald pembunuh pasukan kasihan pasukan blokade menit hancur iran ranjau rudal drone aduh kasihan pasukan amerika serikat korban,-4,Negatif
zionis israel biadab bangsad,0,Netral
mestinya amerika serikat israel negra jahat keroyok lenyap muka,-2,Negatif
donald bebek presiden odgj dunia otaknya dubur,0,Netral
presiden amerika pikun,0,Netral
lawan iran kalah lawan china,-1,Negatif
situasi perang iran langsung menembak musuh apapun alasannya membahayakan negranyatp iran memperingati suruh putar,-2,Negatif
setan israel,-1,Negatif
iran mantap,1,Positif
kocak kocak nuklir iran dilarang nuklir amerika ditingkatkan kualitas,-2,Negatif
kemana prajurit tni,0,Netral
sok kuasa trump,1,Positif
tenggelam kapal amerika sekutunya kasih biar mampus,-2,Negatif
ashadu alla illaa haillallah wa ashadu anna muhammadur rosulullah kobarkan semangat muslimin wal muslimat muminin wal muminat hasbunallah wal nimal wakil nikmal maula wal nikman nasir musnahkan zionis israel zionis amerika serikat perjuangan suci umat islam sedunia vs iblis dajjal surga mawa tujuan umat islam sedunia mati syahid jalan pilihan surga mawa umat islam sedunia,5,Positif
perang meluas kehancuran dajjal amerika serikat israel,0,Netral
hamaz syiaah mengunakan remaja pemuda tameng,-1,Negatif
trump pecundang iran cina rusia korut bersatulah hancurkan amerika serikat israel,0,Netral
us gila nutup selat wilayah iran penjajah hancurkan kapal rudal habisi pasukan darar udara laut go iran andai us indonesia nyakin pemerintah takut babu nyerahin negara amerika,-3,Negatif
acam melulu bembaknya,-1,Negatif
cina kekita devisa dll ladang korupsi wkwkw,-2,Negatif
alah indonesia,-1,Negatif
sekelas cina ancam,-1,Negatif
bravo iran allah hu akbar,1,Positif
warga palestina keroyok tentara israel serang ambil senjatanya,-2,Negatif
iran babak belur akibat serangan amerika serikat israil,-2,Negatif
negara wajib menyerang menghancurkan amerika serikat israel negara pengacau dunia,-3,Negatif
iran waspada amerika sengaja memancing iran selat hormuz kapal perang amerika rudal iran amerika alasan amerika menyerang iran kompromi,-4,Negatif
ayo iran balaskan saudaramu palestina lebanon,1,Positif
kehancuran teroris zionis amerika,0,Netral
amerika serikat malumlrng iran nuklir sdngkn amerika serikat nuklir,0,Netral
trump cepat modar biar dunia kacau,-1,Negatif
semoga iran menang,0,Netral
kebanyakan halu pemerintah indonesia menhub penguatan wisatawan domestik ekonomi sulit morat marit berwisata,1,Positif
amerika negara licik hanguskan muka bumi,0,Netral
bravo iran,0,Netral
barusan kapal perang amerika serikat masuk selat hormuz lancar kapal iran berani menembak berjaga doang iran takut melanggar gencatan senjata,-5,Negatif
media abal abal sipembuat hoax propaganda,-1,Negatif
iran mengingkari janjinya kenyataan,-1,Negatif
presiden syaraf mengomong jidat korban tentara amerika trump enak makan istana,0,Netral
kebangkrutan amerika serikat donald serakah zionis israel,0,Netral
lawan amerika serikat takut blokadetembak kapal asiran menangcjina kawan mundurbiang kerok amerika serikat hancurkan,-2,Negatif
rebutan dunia lanjutken,0,Netral
trump pindah menyerang cina presiden peran,0,Netral
iran tundukkan inikan ancam negara china,-1,Negatif
israel membabi buta serang lebanon palestina iran wajib serang israel abaikan pbb,-5,Negatif
rakyat demo pemerintahanannya donald mengajak perang,-2,Negatif
insya allah tramdan pasukan amerika serikat,0,Netral
chaina rusia terangan bantu irankarna biang perang zaman moderen zionis israel asmereka menyerang negara dalil melindungi negaranya ancaman negara lainpadahal menguasai tanahnya hasil buminya minyak,-3,Negatif
amerika bodohnya mati ngancam irankini ngancam china amerika negara adidaya bego banget,1,Positif
negara aneh kirim persenjataan isriwil diam giliran icina kirim persenjataan iran bacooottt,3,Positif
top lanjutken iran perang total vs zonis israil syetanyahu amerika serikat iblis donat traum kapal tangker ajar ze izin irgc iran layak tenggelamkan,-3,Negatif
logat india anjeeeng,0,Netral
trump bicara mengaco iran kalah kabut lawan cina,-2,Negatif
lihat donald bebek mulutnya bebek dasar bebek ayo iran bantai bebeksuoaya tumbang,1,Positif
kakek donald bebek lucu lucunya anjir sakit jiwa,-1,Negatif
donald bebek odgjomon ngelantur jelasgitu wilayah udara nkri bebaskalo negara ijinkan konyoolll,-1,Negatif
modal kanwahh negara dibilang teroris pemerasan bikin papa salah yaabarat amerika serikat krekter sbnrnyalawan gabung sbbnya mulakan duluan cari bikin masslh masalh menuduh fitnah negara smpikn urusan rumah tgga pon amerika serikat nk masuk campur malu maruah itukn batasan igtnya kuat kekal kekal didunia,-1,Negatif
hoe banci laknatulloh israhellayo berani sikat iran lgdasar binatang kalianserang lebanonserang warga gaza berdaya,0,Netral
ngatasi israel ancam cina,-1,Negatif
iran tutup total selat hurmoz husus amerika serikat sekutunya terbuka membela amerika serikat,-1,Negatif
manusia iblis israil semoga allahswt memusnahkannya amin yrb,0,Netral
